BrandName,Descrpition,Current_Price ,MRP,Discount%
U.S.Polo Association,Slim Men Blue Jeans,873,2299,62% off
U.S. POLO ASSN.,Slim Men Black Jeans,799,1999,60% off
Spykar,Super Skinny Men Black Jeans,782,2699,71% off
Spykar,Super Skinny Men Blue Jeans,782,2899,73% off
U.S.Polo Association,Slim Men Blue Jeans,873,2299,62% off
Killer,Slim Men Grey Jeans,895,3199,72% off
Flying Machine,Slim Men Dark Blue Jeans,699,2199,68% off
Urbano Fashion,Slim Men Dark Blue Jeans,649,1499,56% off
Killer,Slim Men Blue Jeans,989,3299,70% off
Denizen From Levi's,Super Skinny Men Dark Blue Jeans,764,1699,55% off
Metronaut,Skinny Men Light Blue Jeans,395,1099,64% off
U.S. POLO ASSN.,Slim Men Black Jeans,873,2299,62% off
Numero Uno,Skinny Men Dark Blue Jeans,637,2199,71% off
Flying Machine,Skinny Men Black Jeans,699,2199,68% off
Lee,Slim Men Dark Blue Jeans,824,2499,67% off
Peter England,Slim Men Dark Blue Jeans,1299,1999,35% off
Spykar,Skinny Men Black Jeans,782,2899,73% off
Flying Machine,Skinny Men Black Jeans,699,2199,68% off
Flying Machine,Skinny Men Blue Jeans,699,2199,68% off
Studio Nexx,Regular Men Light Blue Jeans,569,1699,66% off
Lee,Skinny Men Dark Blue Jeans,824,2499,67% off
Killer,Skinny Men Dark Blue Jeans,1019,3399,70% off
Flying Machine,Slim Men Grey Jeans,699,2199,68% off
Peter England,Slim Men Blue Jeans,1299,1999,35% off
Killer,Skinny Men Dark Green Jeans,895,3199,72% off
Killer,Skinny Men Blue Jeans,989,3299,70% off
Wrangler 20X,Slim Men Blue Jeans,598,2395,75% off
Urbano Fashion,Slim Men Light Blue Jeans,777,1599,51% off
Killer,Slim Men Blue Jeans,1019,3399,70% off
Flying Machine,Tapered Fit Men Blue Jeans,699,2199,68% off
Flying Machine,Slim Men Grey Jeans,699,2199,68% off
Studio Nexx,Regular Men Blue Jeans,649,1999,67% off
Lee,Skinny Men Grey Jeans,824,2499,67% off
Killer,Skinny Men Dark Blue Jeans,989,3299,70% off
Killer,Skinny Men Blue Jeans,799,3199,75% off
U.S. POLO ASSN.,Slim Men Black Jeans,839,2099,60% off
Killer,Skinny Men Black Jeans,929,2999,69% off
Lee,Skinny Men Dark Green Jeans,824,2499,67% off
Lee,Skinny Men Grey Jeans,824,2499,67% off
Studio Nexx,Regular Men Brown Jeans,683,1499,54% off
